"ident","name","municipality","iata_code","gps_code","iso_region","scheduled_service"
"GB-0851","South Cerney Airfield","South Cerney (Glos)","NULL","EGCY","GB-ENG","0"
"GB-0811","South Longwood Farm Airstrip","Owslebury","NULL","NULL","GB-ENG","0"
"GB-0565","South Moor Farm Airstrip","Dalby Forest","NULL","NULL","GB-ENG","0"
"GB-1017","South View Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0392","South Wales Gliding Club","NULL","NULL","NULL","GB-WLS","0"
"GB-0954","South Weald Private Airstrip","Brentwood, Essex","NULL","NULL","GB-ENG","0"
"GB-0852","South Wraxall private Airstrip","South Wraxall (Wiltshire)","NULL","NULL","GB-ENG","0"
"EGHI","Southampton Airport","Southampton","SOU","EGHI","GB-ENG","1"
"GB-0351","Southampton University Hospital Helipad","Southampton","NULL","NULL","GB-ENG","0"
"GB-0408","Southdown Gliding Club","Pulborough, West Sussex","NULL","NULL","GB-ENG","0"
"GB-0634","Southery Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0010","Spanhoe","NULL","NULL","NULL","GB-ENG","0"
"GB-0624","Sparr Farm Airstrip","Billingshurst, West Sussex","NULL","NULL","GB-ENG","0"
"GB-1098","Speke Airport","Liverpool","NULL","NULL","GB-ENG","0"
"GB-0220","Spence Airfield","NULL","NULL","NULL","GB-ENG","0"
"GB-0457","Spilstead Farm Airfield","Battle, East Sussex","NULL","NULL","GB-ENG","0"
"GB-1015","Spire-View Airstrip","Coombe Bissett","NULL","NULL","GB-ENG","0"
"GB-0899","Spite Hall Farm Airstrip","Pinchinthorpe","NULL","NULL","GB-ENG","0"
"GB-0358","Springfield Farm Airstrip","Ettington","NULL","NULL","GB-ENG","0"
"GB-0178","Sproston Green Airfield","NULL","NULL","NULL","GB-ENG","0"
"GB-0352","St Mary's Hospital Helipad","Newport (IoW)","NULL","NULL","GB-ENG","0"
"GB-0488","St Mellion Airstrip","Bealbury","NULL","NULL","GB-ENG","0"
"EGDX","St. Athan Airport","St. Athan","NULL","EGSY","GB-WLS","0"
"EGHE","St. Mary's Airport","St. Mary's","ISC","EGHE","GB-ENG","1"
"GB-0093","Staindrop Private Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0027","Stancombe Farm Airstrip (Private)","Litton Cheney","NULL","NULL","GB-ENG","0"
"GB-0619","Stanton Farm Airstrip","Stanton St Bernard, Wiltshire","NULL","NULL","GB-ENG","0"
"EGSG","Stapleford Aerodrome","Romford, Greater London","NULL","EGSG","GB-ENG","0"
"GB-0059","Steventon Private Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0698","Stitchin's Hill Farm Airstrip","Leigh Sinton","NULL","NULL","GB-ENG","0"
"GB-0830","Stockbridge Airstrip","Whitwell (IoW)","NULL","NULL","GB-ENG","0"
"GB-0366","Stoke Airfield","Rochester, Kent","NULL","NULL","GB-ENG","0"
"GB-0331","Stoke Ferry Airfield","King's Lynn, Norfolk","NULL","NULL","GB-ENG","0"
"GB-0279","Stoke Golding Airfield","Stoke Golding","NULL","NULL","GB-ENG","0"
"GB-0456","Stonehill Farm Airstrip","NULL","NULL","NULL","GB-SCT","0"
"GB-0257","Stones Farm Airstrip","Halstead, Essex","NULL","NULL","GB-ENG","0"
"GB-0232","Stoney Lane Farm Airstrip","Broad Green","NULL","NULL","GB-ENG","0"
"GB-0225","Stoodleigh Barton Private Airstrip","NULL","NULL","NULL","GB-ENG","0"
"EGPO","Stornoway Airport","Stornoway, Western Isles","SYY","EGPO","GB-SCT","1"
"GB-0277","Stow Airstrip","Stow","NULL","NULL","GB-ENG","0"
"GB-0211","Stow Longa","Kimbolton","NULL","NULL","GB-ENG","0"
"GB-0562","Stow Maries Great War Aerodrome","Chelmsford, Essex","NULL","NULL","GB-ENG","0"
"GB-0421","Stratford-upon-Avon Gliding Club","Stratford-upon-Avon","NULL","NULL","GB-ENG","0"
"GB-0180","Strathaven Airfield","NULL","NULL","NULL","GB-SCT","0"
"GB-0308","Streethay Farm Airstrip","Lichfield","NULL","NULL","GB-ENG","0"
"GB-0962","Stroma Airstrip","Orkney","NULL","NULL","GB-SCT","0"
"EGER","Stronsay Airport","Stronsay","SOY","EGER","GB-SCT","1"
"EGCG","Strubby Airfield","Strubby","NULL","EGCG","GB-ENG","0"
"EGYI","Strubby Glider Field","Strubby","NULL","NULL","GB-ENG","0"
"EGCS","Sturgate Airfield","Lincoln","NULL","EGCS","GB-ENG","0"
"GB-0705","Sulby Airstrip","NULL","NULL","NULL","GB-ENG","0"
"GB-0960","Sule Skerry Heliport","Orkney","NULL","NULL","GB-SCT","0"
"EGPB","Sumburgh Airport","Lerwick","LSI","EGPB","GB-SCT","1"
"GB-0791","Sutton Airstrip","Pulborough, West Sussex","NULL","NULL","GB-ENG","0"
